year,state,iso3,city,applications,issued,mev,ltv,not_issued,decisions,not_issued_share,mev_share
2015,Czech Republic,CZE,Baghdad,734,712,56,7,15,734,0.020435967302452316,0.07865168539325842
2015,Czech Republic,CZE,Erbil,2923,2080,415,155,688,2923,0.23537461512145055,0.19951923076923078
2015,France,FRA,Baghdad,5899,5079,1126,147,579,5805,0.09974160206718347,0.22169718448513487
2015,France,FRA,Erbil,6069,4128,1047,8,1577,5713,0.2760371083493786,0.25363372093023256
2015,Germany,DEU,Baghdad,4591,2984,427,1220,387,4591,0.08429536048791113,0.14309651474530832
2015,Germany,DEU,Erbil,7009,5374,3100,1487,148,7009,0.021115708374946498,0.5768515072571642
2015,Hungary,HUN,Erbil,761,424,127,31,306,761,0.4021024967148489,0.29952830188679247
2015,Italy,ITA,Baghdad,6186,4328,1675,776,1082,6186,0.17491108955706433,0.3870147874306839
2015,Netherlands,NLD,Baghdad,813,640,630,62,103,805,0.12795031055900621,0.984375
2015,Netherlands,NLD,Erbil,310,233,218,21,53,307,0.17263843648208468,0.9356223175965666
2015,Poland,POL,Erbil,1985,1074,370,28,883,1985,0.4448362720403023,0.34450651769087526
2015,Slovakia,SVK,Baghdad,323,264,48,16,62,342,0.18128654970760233,0.18181818181818182
2015,Spain,ESP,Baghdad,468,291,73,32,120,443,0.2708803611738149,0.2508591065292096
2015,Sweden,SWE,Baghdad,404,155,96,239,4,398,0.010050251256281407,0.6193548387096774
2016,Czech Republic,CZE,Baghdad,586,559,80,18,3,580,0.005172413793103448,0.14311270125223613
2016,Czech Republic,CZE,Erbil,2956,2434,688,81,436,2951,0.14774652660115214,0.2826622843056697
2016,France,FRA,Baghdad,5252,4380,1126,60,633,5073,0.12477823772915435,0.25707762557077624
2016,France,FRA,Erbil,6470,4244,1047,43,2069,6356,0.32551919446192573,0.24670122525918944
2016,Germany,DEU,Baghdad,4622,3545,1234,279,798,4622,0.17265253137170056,0.34809590973201693
2016,Germany,DEU,Erbil,11937,9364,6646,344,2229,11937,0.1867303342548379,0.7097394275950448
2016,Greece,GRC,Baghdad,682,500,185,20,162,682,0.2375366568914956,0.37
2016,Hungary,HUN,Erbil,538,330,123,14,194,538,0.36059479553903345,0.37272727272727274
2016,Italy,ITA,Baghdad,5770,4395,2084,187,1188,5770,0.20589254766031195,0.4741751990898749
2016,Italy,ITA,Erbil,2357,1504,649,25,828,2357,0.3512940178192618,0.4315159574468085
2016,Netherlands,NLD,Baghdad,675,542,533,18,93,653,0.14241960183767227,0.9833948339483395
2016,Netherlands,NLD,Erbil,861,584,580,33,212,829,0.255729794933655,0.9931506849315068
2016,Poland,POL,Erbil,3118,2263,550,99,756,3118,0.24246311738293777,0.24304021210782148
2016,Spain,ESP,Baghdad,310,265,61,3,3,271,0.01107011070110701,0.23018867924528302
2016,Sweden,SWE,Baghdad,321,163,55,126,4,293,0.013651877133105802,0.3374233128834356
2017,Czech Republic,CZE,Baghdad,522,474,96,39,9,522,0.017241379310344827,0.20253164556962025
2017,Czech Republic,CZE,Erbil,3724,2930,581,5,789,3724,0.2118689581095596,0.1982935153583618
2017,France,FRA,Baghdad,5973,4432,893,56,1273,5761,0.22096858184342996,0.20148916967509026
2017,France,FRA,Erbil,8215,3437,680,5,4510,7952,0.5671529175050302,0.19784695955775386
2017,Germany,DEU,Baghdad,4725,3508,1335,153,1064,4725,0.22518518518518518,0.3805587229190422
2017,Germany,DEU,Erbil,22065,11257,7268,178,10630,22065,0.48175844096986176,0.6456427112019189
2017,Greece,GRC,Baghdad,1029,704,239,13,312,1029,0.3032069970845481,0.33948863636363635
2017,Hungary,HUN,Erbil,700,418,107,25,257,700,0.36714285714285716,0.25598086124401914
2017,Italy,ITA,Baghdad,4433,2467,813,134,1832,4433,0.41326415519963905,0.32955006080259425
2017,Italy,ITA,Erbil,2291,950,356,68,1273,2291,0.5556525534701003,0.37473684210526315
2017,Netherlands,NLD,Baghdad,668,538,538,13,107,658,0.16261398176291794,1.0
2017,Netherlands,NLD,Erbil,839,534,531,38,254,826,0.3075060532687651,0.9943820224719101
2017,Poland,POL,Erbil,4684,1761,336,76,2847,4684,0.6078138343296328,0.19080068143100512
2017,Spain,ESP,Baghdad,481,455,181,1,3,459,0.006535947712418301,0.3978021978021978
2017,Sweden,SWE,Baghdad,188,149,56,1,0,150,0.0,0.37583892617449666
2018,Czech Republic,CZE,Baghdad,398,347,125,33,16,396,0.04040404040404041,0.36023054755043227
2018,Czech Republic,CZE,Erbil,145,85,24,0,60,145,0.41379310344827586,0.2823529411764706
2018,France,FRA,Baghdad,6137,3816,760,97,2179,6092,0.3576822061720289,0.19916142557651992
2018,France,FRA,Erbil,13302,4746,802,10,8369,13125,0.6376380952380952,0.16898440792246103
2018,Germany,DEU,Baghdad,4660,3685,2062,13,962,4660,0.20643776824034335,0.5595658073270013
2018,Germany,DEU,Erbil,25647,11532,8479,15,14100,25647,0.5497719031465669,0.7352584113770378
2018,Greece,GRC,Baghdad,1455,923,286,69,463,1455,0.31821305841924397,0.30985915492957744
2018,Hungary,HUN,Erbil,1080,601,162,14,465,1080,0.4305555555555556,0.26955074875207985
2018,Italy,ITA,Baghdad,4662,2998,1095,111,1553,4662,0.3331188331188331,0.36524349566377584
2018,Italy,ITA,Erbil,2031,964,358,72,995,2031,0.4899064500246184,0.37136929460580914
2018,Netherlands,NLD,Baghdad,819,615,609,69,117,801,0.14606741573033707,0.9902439024390244
2018,Netherlands,NLD,Erbil,590,386,385,13,166,565,0.2938053097345133,0.9974093264248705
2018,Poland,POL,Erbil,2249,840,190,5,1404,2249,0.6242774566473989,0.2261904761904762
2018,Spain,ESP,Baghdad,1352,1184,476,9,58,1251,0.04636290967226219,0.40202702702702703
2018,Sweden,SWE,Baghdad,199,187,65,0,0,187,0.0,0.34759358288770054
2019,Czech Republic,CZE,Baghdad,294,283,96,10,1,294,0.003401360544217687,0.3392226148409894
2019,Czech Republic,CZE,Erbil,706,394,62,0,312,706,0.44192634560906513,0.15736040609137056
2019,France,FRA,Baghdad,4487,3201,735,110,1171,4482,0.2612672913877733,0.2296157450796626
2019,France,FRA,Erbil,12111,5479,841,11,6646,12136,0.5476268951878708,0.15349516335097646
2019,Germany,DEU,Baghdad,6133,4938,3037,111,1084,6133,0.17674873634436655,0.6150263264479546
2019,Germany,DEU,Erbil,18136,10140,6853,11,7985,18136,0.44028451698279664,0.6758382642998028
2019,Greece,GRC,Baghdad,1528,1010,360,9,397,1416,0.2803672316384181,0.3564356435643564
2019,Hungary,HUN,Erbil,1040,600,148,2,429,1031,0.41610087293889425,0.24666666666666667
2019,Italy,ITA,Baghdad,4093,2660,941,16,1417,4093,0.346200830686538,0.3537593984962406
2019,Italy,ITA,Erbil,2478,1083,265,84,1311,2478,0.5290556900726392,0.24469067405355494
2019,Netherlands,NLD,Baghdad,1135,915,642,37,146,1098,0.13296903460837886,0.7016393442622951
2019,Netherlands,NLD,Erbil,1204,935,654,31,219,1185,0.1848101265822785,0.6994652406417112
2019,Poland,POL,Erbil,1621,665,130,3,956,1624,0.5886699507389163,0.19548872180451127
2019,Spain,ESP,Baghdad,2287,2035,1092,9,113,2157,0.052387575336114975,0.5366093366093366
2019,Sweden,SWE,Baghdad,248,241,69,0,0,241,0.0,0.2863070539419087
2020,Czech Republic,CZE,Baghdad,63,59,25,3,1,63,0.015873015873015872,0.423728813559322
2020,Czech Republic,CZE,Erbil,121,55,7,0,66,121,0.5454545454545454,0.12727272727272726
2020,France,FRA,Baghdad,918,706,216,25,165,896,0.18415178571428573,0.3059490084985836
2020,France,FRA,Erbil,1936,842,176,4,988,1834,0.5387131952017448,0.20902612826603326
2020,Germany,DEU,Baghdad,1361,1041,731,26,294,1361,0.216017634092579,0.7022094140249759
2020,Germany,DEU,Erbil,2612,1457,1009,8,1147,2612,0.4391271056661562,0.6925188743994509
2020,Greece,GRC,Baghdad,210,80,26,0,79,159,0.4968553459119497,0.325
2020,Greece,GRC,Erbil,7,3,2,0,0,3,0.0,0.6666666666666666
2020,Hungary,HUN,Erbil,174,84,23,0,82,166,0.4939759036144578,0.27380952380952384
2020,Italy,ITA,Baghdad,657,438,156,0,219,657,0.3333333333333333,0.3561643835616438
2020,Italy,ITA,Erbil,416,157,74,14,245,416,0.5889423076923077,0.4713375796178344
2020,Netherlands,NLD,Baghdad,191,118,47,11,59,188,0.31382978723404253,0.3983050847457627
2020,Netherlands,NLD,Erbil,244,161,61,6,69,236,0.2923728813559322,0.37888198757763975
2020,Poland,POL,Erbil,236,86,17,0,149,235,0.6340425531914894,0.19767441860465115
2020,Spain,ESP,Baghdad,490,412,146,3,20,435,0.04597701149425287,0.35436893203883496
2020,Sweden,SWE,Baghdad,86,85,36,0,0,85,0.0,0.4235294117647059
2021,Czech Republic,CZE,Baghdad,149,137,41,11,0,148,0.0,0.29927007299270075
2021,Czech Republic,CZE,Erbil,58,43,2,0,15,58,0.25862068965517243,0.046511627906976744
2021,France,FRA,Baghdad,3595,1493,454,76,1809,3378,0.5355239786856127,0.304085733422639
2021,France,FRA,Erbil,5317,2904,969,19,2185,5108,0.42776037588097104,0.33367768595041325
2021,Germany,DEU,Baghdad,2326,1869,1783,17,434,2320,0.1870689655172414,0.9539860888175495
2021,Germany,DEU,Erbil,2817,1851,1706,4,828,2683,0.30860976518822214,0.9216639654240951
2021,Greece,GRC,Baghdad,274,237,146,1,17,255,0.06666666666666667,0.6160337552742616
2021,Greece,GRC,Erbil,84,75,44,4,4,83,0.04819277108433735,0.5866666666666667
2021,Hungary,HUN,Erbil,118,65,17,2,51,118,0.4322033898305085,0.26153846153846155
2021,Italy,ITA,Baghdad,671,466,238,0,205,671,0.3055141579731744,0.5107296137339056
2021,Italy,ITA,Erbil,354,118,57,48,188,354,0.5310734463276836,0.4830508474576271
2021,Netherlands,NLD,Baghdad,312,272,130,28,10,310,0.03225806451612903,0.47794117647058826
2021,Netherlands,NLD,Erbil,439,315,93,12,86,413,0.20823244552058112,0.29523809523809524
