year,state,iso3,applications,issued,mev,ltv,not_issued,decisions,not_issued_share,mev_share
2015,Czech Republic,CZE,3657,2792,471,162,703,3657,0.19223407164342357,0.16869627507163323
2015,France,FRA,11968,9207,2173,155,2156,11518,0.1871852752213926,0.23601607472575215
2015,Germany,DEU,11600,8358,3527,2707,535,11600,0.046120689655172416,0.42199090691553004
2015,Hungary,HUN,761,424,127,31,306,761,0.4021024967148489,0.29952830188679247
2015,Italy,ITA,6186,4328,1675,776,1082,6186,0.17491108955706433,0.3870147874306839
2015,Netherlands,NLD,1123,873,848,83,156,1112,0.14028776978417265,0.9713631156930126
2015,Poland,POL,1985,1074,370,28,883,1985,0.4448362720403023,0.34450651769087526
2015,Slovakia,SVK,323,264,48,16,62,342,0.18128654970760233,0.18181818181818182
2015,Spain,ESP,468,291,73,32,120,443,0.2708803611738149,0.2508591065292096
2015,Sweden,SWE,404,155,96,239,4,398,0.010050251256281407,0.6193548387096774
2016,Czech Republic,CZE,3542,2993,768,99,439,3531,0.124327386009629,0.25659873037086534
2016,France,FRA,11722,8624,2173,103,2702,11429,0.23641613439496018,0.2519712430426716
2016,Germany,DEU,16559,12909,7880,623,3027,16559,0.18280089377377862,0.6104268339917887
2016,Greece,GRC,682,500,185,20,162,682,0.2375366568914956,0.37
2016,Hungary,HUN,538,330,123,14,194,538,0.36059479553903345,0.37272727272727274
2016,Italy,ITA,8127,5899,2733,212,2016,8127,0.24806201550387597,0.46329886421427363
2016,Netherlands,NLD,1536,1126,1113,51,305,1482,0.2058029689608637,0.9884547069271759
2016,Poland,POL,3118,2263,550,99,756,3118,0.24246311738293777,0.24304021210782148
2016,Spain,ESP,310,265,61,3,3,271,0.01107011070110701,0.23018867924528302
2016,Sweden,SWE,321,163,55,126,4,293,0.013651877133105802,0.3374233128834356
2017,Czech Republic,CZE,4246,3404,677,44,798,4246,0.1879415920866698,0.19888366627497062
2017,France,FRA,14188,7869,1573,61,5783,13713,0.42171661926638954,0.1998983352395476
2017,Germany,DEU,26790,14765,8603,331,11694,26790,0.4365061590145577,0.5826616999661361
2017,Greece,GRC,1029,704,239,13,312,1029,0.3032069970845481,0.33948863636363635
2017,Hungary,HUN,700,418,107,25,257,700,0.36714285714285716,0.25598086124401914
2017,Italy,ITA,6724,3417,1169,202,3105,6724,0.46177870315288516,0.3421129645888206
2017,Netherlands,NLD,1507,1072,1069,51,361,1484,0.24326145552560646,0.9972014925373134
2017,Poland,POL,4684,1761,336,76,2847,4684,0.6078138343296328,0.19080068143100512
2017,Spain,ESP,481,455,181,1,3,459,0.006535947712418301,0.3978021978021978
2017,Sweden,SWE,188,149,56,1,0,150,0.0,0.37583892617449666
2018,Czech Republic,CZE,543,432,149,33,76,541,0.14048059149722736,0.3449074074074074
2018,France,FRA,19439,8562,1562,107,10548,19217,0.5488890045272415,0.182434010745153
2018,Germany,DEU,30307,15217,10541,28,15062,30307,0.49698089550268915,0.6927120983110995
2018,Greece,GRC,1455,923,286,69,463,1455,0.31821305841924397,0.30985915492957744
2018,Hungary,HUN,1080,601,162,14,465,1080,0.4305555555555556,0.26955074875207985
2018,Italy,ITA,6693,3962,1453,183,2548,6693,0.3806962498132377,0.36673397274103986
2018,Netherlands,NLD,1409,1001,994,82,283,1366,0.20717423133235724,0.993006993006993
2018,Poland,POL,2249,840,190,5,1404,2249,0.6242774566473989,0.2261904761904762
2018,Spain,ESP,1352,1184,476,9,58,1251,0.04636290967226219,0.40202702702702703
2018,Sweden,SWE,199,187,65,0,0,187,0.0,0.34759358288770054
2019,Czech Republic,CZE,1000,677,158,10,313,1000,0.313,0.23338257016248154
2019,France,FRA,16598,8680,1576,121,7817,16618,0.4703935491635576,0.1815668202764977
2019,Germany,DEU,24269,15078,9890,122,9069,24269,0.3736865960690593,0.6559225361453773
2019,Greece,GRC,1528,1010,360,9,397,1416,0.2803672316384181,0.3564356435643564
2019,Hungary,HUN,1040,600,148,2,429,1031,0.41610087293889425,0.24666666666666667
2019,Italy,ITA,6571,3743,1206,100,2728,6571,0.41515751027240905,0.322201442693027
2019,Netherlands,NLD,2339,1850,1296,68,365,2283,0.15987735435830047,0.7005405405405405
2019,Poland,POL,1621,665,130,3,956,1624,0.5886699507389163,0.19548872180451127
2019,Spain,ESP,2287,2035,1092,9,113,2157,0.052387575336114975,0.5366093366093366
2019,Sweden,SWE,248,241,69,0,0,241,0.0,0.2863070539419087
2020,Czech Republic,CZE,184,114,32,3,67,184,0.3641304347826087,0.2807017543859649
