year,applications,issued,mev,ltv,not_issued,decisions,not_issued_share,mev_share,rank,global_applications
2015,38475,27766,9408,4229,6007,38002,0.1580706278616915,0.33883166462580133,37,15446676
2016,46455,35072,15641,1350,9608,46030,0.20873343471648925,0.4459682937956204,35,15192502
2017,60537,34014,14010,805,25160,59979,0.41948015138631856,0.4118892220850238,31,16155613
2018,64726,32909,15878,530,30907,64346,0.48032511733441086,0.48248199580661827,30,16016599
2019,57501,34579,15925,444,22187,57210,0.38781681524209055,0.4605396338818358,34,16955541
2020,9722,5784,2752,100,3583,9467,0.3784725889933453,0.47579529737206083,37,2924365
2021,17669,10823,6409,269,5894,16986,0.34699164017426115,0.5921648341494964,31,2926104
2022,48536,28986,13922,373,18211,47570,0.3828253100693714,0.48030083488580694,34,7572755
2023,58165,36563,17555,559,20189,57311,0.35227094275095533,0.4801301862538632,33,10327572
2024,65944,42238,19245,489,21976,64703,0.3396442205152775,0.4556323689568635,33,11716723
2025,70312,45113,16191,318,23692,69123,0.3427513273440099,0.35889876532263426,34,12201026
